,0
0,23.0
1,23.0
2,23.03125
3,23.0
4,23.0
5,23.0
6,23.0
7,23.0
8,23.0
9,23.03125
10,23.03125
11,23.0
12,22.96875
13,23.0
14,23.0
15,23.0
16,23.03125
17,23.0
18,23.03125
19,23.0
20,23.0
21,23.0
22,23.0
23,23.0625
24,23.03125
25,23.0
26,23.0
27,23.0
28,23.0
29,23.0
30,23.0
31,23.0
32,23.0
33,23.0
34,23.0
35,23.0
36,23.03125
37,23.0
38,23.0
39,23.03125
40,23.0
41,23.0
42,23.0
43,23.0
44,23.0
45,23.0
46,23.0
47,23.03125
48,23.03125
49,23.0
50,23.0
51,23.03125
52,23.0
53,23.0
54,23.0
55,23.03125
56,23.0
57,23.0
58,23.03125
59,23.0
60,23.0
61,23.03125
62,23.0
63,23.03125
64,23.03125
65,23.03125
66,23.125
67,23.15625
68,23.28125
69,23.3125
70,23.40625
71,23.5
72,23.5625
73,23.65625
74,23.71875
75,23.8125
76,23.875
77,23.9375
78,24.03125
79,24.09375
80,24.1875
81,24.25
82,24.34375
83,24.4375
84,24.5625
85,24.65625
86,24.75
87,24.8125
88,24.875
89,24.96875
90,25.0625
91,25.15625
92,25.21875
93,25.28125
94,25.375
95,25.4375
96,25.5
97,25.5625
98,25.71875
99,25.8125
100,25.875
101,26.0
102,26.09375
103,26.21875
104,26.3125
105,26.40625
106,26.53125
107,26.625
108,26.71875
109,26.84375
110,26.9375
111,27.0625
112,27.15625
113,27.28125
114,27.5
115,27.59375
116,27.71875
117,27.8125
118,27.90625
119,28.03125
120,28.125
121,28.25
122,28.375
123,28.46875
124,28.59375
125,28.71875
126,28.875
127,28.96875
128,29.09375
129,29.3125
130,29.4375
131,29.5625
132,29.65625
133,29.8125
134,29.9375
135,30.0625
136,30.1875
137,30.28125
138,30.375
139,30.53125
140,30.65625
141,30.78125
142,30.875
143,30.96875
144,31.25
145,31.34375
146,31.4375
147,31.5
148,31.625
149,31.78125
150,31.90625
151,32.03125
152,32.15625
153,32.3125
154,32.46875
155,32.5625
156,32.71875
157,32.8125
158,32.90625
159,33.1875
160,33.3125
161,33.40625
162,33.53125
163,33.6875
164,33.84375
165,33.96875
166,34.0625
167,34.125
168,34.28125
169,34.4375
170,34.53125
171,34.6875
172,34.78125
173,34.875
174,35.125
175,35.28125
176,35.34375
177,35.46875
178,35.5625
179,35.6875
180,35.8125
181,35.9375
182,36.03125
183,36.15625
184,36.28125
185,36.375
186,36.46875
187,36.59375
188,36.71875
189,36.96875
190,37.09375
191,37.1875
192,37.3125
193,37.375
194,37.53125
195,37.625
196,37.71875
197,37.84375
198,37.96875
199,38.0625
200,38.1875
201,38.28125
202,38.375
203,38.5
204,38.71875
205,38.8125
206,38.9375
207,39.0625
208,39.15625
209,39.25
210,39.34375
211,39.4375
212,39.5625
213,39.65625
214,39.75
215,39.84375
216,39.9375
217,40.03125
218,40.09375
219,40.25
220,40.375
221,40.46875
222,40.5625
223,40.6875
224,40.78125
225,40.875
226,40.96875
227,41.0625
228,41.15625
229,41.21875
230,41.3125
231,41.40625
232,41.5
233,41.59375
234,41.6875
235,41.84375
236,41.9375
237,42.03125
238,42.09375
239,42.1875
240,42.25
241,42.34375
242,42.4375
243,42.5
244,42.59375
245,42.6875
246,42.78125
247,42.84375
248,42.90625
249,43.03125
250,43.15625
251,43.25
252,43.28125
253,43.375
254,43.4375
255,43.53125
256,43.59375
257,43.65625
258,43.78125
259,43.8125
260,43.90625
261,43.9375
262,44.03125
263,44.125
264,44.1875
265,44.3125
266,44.375
267,44.46875
268,44.5
269,44.59375
270,44.65625
271,44.71875
272,44.75
273,44.84375
274,44.90625
275,44.96875
276,45.03125
277,45.09375
278,45.15625
279,45.21875
280,45.34375
281,45.40625
282,45.46875
283,45.53125
284,45.59375
285,45.625
286,45.65625
287,45.71875
288,45.8125
289,45.875
290,45.9375
291,46.0
292,46.03125
293,46.0625
294,46.09375
295,46.25
296,46.28125
297,46.375
298,46.40625
299,46.4375
300,46.5
301,46.5625
302,46.625
303,46.625
304,46.71875
305,46.78125
306,46.8125
307,46.84375
308,46.875
309,46.9375
310,47.03125
311,47.0625
312,47.09375
313,47.1875
314,47.21875
315,47.25
316,47.3125
317,47.375
318,47.40625
319,47.46875
320,47.5
321,47.53125
322,47.5625
323,47.625
324,47.65625
325,47.75
326,47.78125
327,47.8125
328,47.84375
329,47.90625
330,47.9375
331,47.96875
332,48.0
333,48.0625
334,48.09375
335,48.15625
336,48.1875
337,48.25
338,48.28125
339,48.3125
340,48.375
341,48.40625
342,48.4375
343,48.5
344,48.53125
345,48.5625
346,48.59375
347,48.625
348,48.6875
349,48.6875
350,48.75
351,48.78125
352,48.8125
353,48.84375
354,48.84375
355,48.96875
356,48.96875
357,48.96875
358,49.03125
